sequence	run_id	stage_id	stage_code	category	manifest_phase	runner_phase	stage_name
1	stage0829_0001_graph-replay_stage5200	5200	RP-TOTAL	replay_lifecycle	steady-replay	graph-replay	V2 Steady Replay Host总区间
2	stage0829_0002_graph-replay_stage5201	5201	RP-ENTRY	replay_lifecycle	steady-replay	graph-replay	V2 Replay descriptor与Graph查找
3	stage0829_0003_graph-replay_stage5202	5202	RP-DEBUG-ADDR	replay_lifecycle	steady-replay	graph-replay	Debug输入地址验证（V2不适用）
4	stage0829_0004_graph-replay_stage5203	5203	RP-OFFLOAD-SYNC	replay_lifecycle	steady-replay	graph-replay	V2 Replay前offloader依赖同步
5	stage0829_0005_graph-replay_stage5204	5204	RP-BRIDGE-TOTAL	replay_lifecycle	steady-replay	graph-replay	V2 Python→PyBind replay总调用
6	stage0829_0006_graph-replay_stage5205	5205	RP-CPP-TOTAL	replay_lifecycle	steady-replay	graph-replay	CUDAGraph::replay总区间
7	stage0829_0007_graph-replay_stage5206	5206	RP-STATE	replay_lifecycle	steady-replay	graph-replay	Capture状态与instantiate决策
8	stage0829_0008_graph-replay_stage5207	5207	RP-INSTANTIATE	replay_lifecycle	steady-replay	graph-replay	稀有instantiate分支
9	stage0829_0009_graph-replay_stage5208	5208	RP-DEVICE-GUARD	replay_lifecycle	steady-replay	graph-replay	OptionalDeviceGuard
10	stage0829_0010_graph-replay_stage5209	5209	RP-RNG-PROLOGUE	replay_lifecycle	steady-replay	graph-replay	Generator replay_prologue
11	stage0829_0011_graph-replay_stage5210	5210	RP-STREAM	replay_lifecycle	steady-replay	graph-replay	当前CUDA stream获取
12	stage0829_0012_graph-replay_stage5211	5211	RP-GRAPH-LAUNCH	replay_lifecycle	steady-replay	graph-replay	cudaGraphLaunch精确Runtime API
13	stage0829_0013_graph-replay_stage5212	5212	RP-LAUNCH-CHECK	replay_lifecycle	steady-replay	graph-replay	Launch返回状态检查
14	stage0829_0014_graph-replay_stage5213	5213	RP-CPP-RETURN	replay_lifecycle	steady-replay	graph-replay	C++/PyBind返回尾部
15	stage0829_0015_graph-replay_stage5214	5214	RP-OUTPUT-RETURN	replay_lifecycle	steady-replay	graph-replay	V2静态output切片与返回准备
16	stage0829_0016_graph-prefill_stage1000	1000	OP-001	operator_total	graph-prefill	graph-prefill	triton_red_fused__to_copy_embedding_rms_norm_0 总区间
17	stage0829_0017_graph-prefill_stage1001	1001	OP-002	operator_total	graph-prefill	graph-prefill	aten::mm CUDA out实现总区间
18	stage0829_0018_graph-prefill_stage1002	1002	OP-003	operator_total	graph-prefill	graph-prefill	triton_red_fused_1 总区间
19	stage0829_0019_graph-prefill_stage1003	1003	OP-004	operator_total	graph-prefill	graph-prefill	triton_poi_fused_add_index_select_mul_rms_norm_split_split_with_sizes_sub_unsqueeze_view_2 总区间
20	stage0829_0020_graph-prefill_stage1004	1004	OP-005	operator_total	graph-prefill	graph-prefill	triton_poi_fused_add_index_select_mul_rms_norm_split_split_with_sizes_sub_unsqueeze_view_3 总区间
21	stage0829_0021_graph-prefill_stage1005	1005	OP-006	operator_total	graph-prefill	graph-prefill	vllm::unified_kv_cache_update 总区间
22	stage0829_0022_graph-prefill_stage1006	1006	OP-007	operator_total	graph-prefill	graph-prefill	aten::transpose 总区间
23	stage0829_0023_graph-prefill_stage1007	1007	OP-008	operator_total	graph-prefill	graph-prefill	aten::as_strided [#1] 总区间
24	stage0829_0024_graph-prefill_stage1008	1008	OP-009	operator_total	graph-prefill	graph-prefill	aten::split 总区间
25	stage0829_0025_graph-prefill_stage1009	1009	OP-010	operator_total	graph-prefill	graph-prefill	aten::narrow [#1] 总区间
26	stage0829_0026_graph-prefill_stage1010	1010	OP-011	operator_total	graph-prefill	graph-prefill	aten::slice [#1] 总区间
27	stage0829_0027_graph-prefill_stage1011	1011	OP-012	operator_total	graph-prefill	graph-prefill	aten::as_strided [#2] 总区间
28	stage0829_0028_graph-prefill_stage1012	1012	OP-013	operator_total	graph-prefill	graph-prefill	aten::narrow [#2] 总区间
29	stage0829_0029_graph-prefill_stage1013	1013	OP-014	operator_total	graph-prefill	graph-prefill	aten::slice [#2] 总区间
30	stage0829_0030_graph-prefill_stage1014	1014	OP-015	operator_total	graph-prefill	graph-prefill	aten::as_strided [#3] 总区间
31	stage0829_0031_graph-prefill_stage1015	1015	OP-016	operator_total	graph-prefill	graph-prefill	_C_cache_ops::reshape_and_cache_flash 总区间
32	stage0829_0032_graph-prefill_stage1016	1016	OP-017	operator_total	graph-prefill	graph-prefill	aten::empty 总区间
33	stage0829_0033_graph-prefill_stage1017	1017	OP-018	operator_total	graph-prefill	graph-prefill	vllm::unified_attention_with_output 总区间
34	stage0829_0034_graph-prefill_stage1018	1018	OP-019	operator_total	graph-prefill	graph-prefill	aten::transpose [#1] 总区间
35	stage0829_0035_graph-prefill_stage1019	1019	OP-020	operator_total	graph-prefill	graph-prefill	aten::as_strided [#1] 总区间
36	stage0829_0036_graph-prefill_stage1020	1020	OP-021	operator_total	graph-prefill	graph-prefill	aten::split 总区间
37	stage0829_0037_graph-prefill_stage1021	1021	OP-022	operator_total	graph-prefill	graph-prefill	aten::narrow [#1] 总区间
38	stage0829_0038_graph-prefill_stage1022	1022	OP-023	operator_total	graph-prefill	graph-prefill	aten::slice [#1] 总区间
39	stage0829_0039_graph-prefill_stage1023	1023	OP-024	operator_total	graph-prefill	graph-prefill	aten::as_strided [#2] 总区间
40	stage0829_0040_graph-prefill_stage1024	1024	OP-025	operator_total	graph-prefill	graph-prefill	aten::narrow [#2] 总区间
41	stage0829_0041_graph-prefill_stage1025	1025	OP-026	operator_total	graph-prefill	graph-prefill	aten::slice [#2] 总区间
42	stage0829_0042_graph-prefill_stage1026	1026	OP-027	operator_total	graph-prefill	graph-prefill	aten::as_strided [#3] 总区间
